loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,loan_status
1800,36,19.52,66.46,E,E2,< 1 year,MORTGAGE,130000.0,other,Fully Paid
6800,36,7.97,213.0,A,A5,5 years,OWN,102960.0,debt_consolidation,Fully Paid
18000,36,12.49,602.08,B,B4,1 year,MORTGAGE,60000.0,debt_consolidation,Fully Paid
17375,36,13.11,586.36,B,B4,7 years,MORTGAGE,49000.0,home_improvement,Charged Off
14000,60,13.59,322.79,C,C2,7 years,MORTGAGE,45000.0,debt_consolidation,Current
35000,60,12.73,791.53,B,B5,9 years,RENT,125000.0,debt_consolidation,Current
8000,36,12.74,268.56,C,C1,3 years,MORTGAGE,35000.0,debt_consolidation,Fully Paid
35000,60,17.57,880.61,D,D4,10+ years,MORTGAGE,170000.0,debt_consolidation,Fully Paid
3000,36,11.49,98.92,B,B5,10+ years,MORTGAGE,30000.0,credit_card,Fully Paid
6000,36,14.03,205.16,C,C2,4 years,MORTGAGE,48000.0,debt_consolidation,Fully Paid
3025,36,9.58,97.02,B,B1,10+ years,MORTGAGE,85000.0,debt_consolidation,Current
12875,36,13.67,437.98,B,B5,4 years,RENT,65000.0,debt_consolidation,Fully Paid
10800,60,18.55,277.5,E,E2,< 1 year,RENT,60000.0,debt_consolidation,Fully Paid
7000,36,7.89,219.0,A,A5,5 years,RENT,33000.0,debt_consolidation,Current
10000,36,12.62,335.12,C,C1,10+ years,MORTGAGE,60000.0,debt_consolidation,Current
30000,36,6.99,926.18,A,A2,4 years,MORTGAGE,150000.0,home_improvement,Fully Paid
24000,60,9.93,509.11,B,B2,6 years,RENT,121620.0,other,Current
16000,60,14.33,375.04,C,C2,8 years,MORTGAGE,88541.0,debt_consolidation,Fully Paid
16000,36,6.97,493.82,A,A3,2 years,MORTGAGE,180000.0,debt_consolidation,Fully Paid
16000,60,14.46,376.12,C,C4,7 years,RENT,57900.0,debt_consolidation,Current
19200,60,8.18,390.97,B,B1,,MORTGAGE,85884.0,debt_consolidation,Fully Paid
4000,36,12.12,133.09,B,B3,3 years,RENT,42000.0,car,Fully Paid
10000,36,10.9,326.92,B,B4,10+ years,RENT,40000.0,debt_consolidation,Current
17350,36,10.99,567.94,B,B4,10+ years,OWN,51900.0,credit_card,Current
1200,36,11.49,39.57,B,B5,1 year,MORTGAGE,75000.0,debt_consolidation,Fully Paid
20000,60,9.75,422.49,B,B3,1 year,OWN,85200.0,debt_consolidation,Fully Paid
12000,36,18.94,439.51,D,D2,8 years,RENT,48000.0,credit_card,Current
30000,60,18.06,762.79,D,D2,6 years,MORTGAGE,59610.0,credit_card,Current
30000,60,20.2,798.16,D,D5,6 years,MORTGAGE,92000.0,debt_consolidation,Fully Paid
3000,36,10.08,96.92,B,B1,10+ years,MORTGAGE,48000.0,home_improvement,Current
6000,36,13.67,204.11,B,B5,< 1 year,RENT,38000.0,debt_consolidation,Fully Paid
10000,36,7.24,309.87,A,A3,1 year,RENT,70000.0,credit_card,Current
3000,36,12.62,100.54,C,C1,< 1 year,MORTGAGE,60000.0,debt_consolidation,Current
11000,60,12.69,248.55,C,C2,4 years,RENT,48000.0,credit_card,Current
12800,36,7.35,397.28,A,A4,2 years,MORTGAGE,95000.0,debt_consolidation,Fully Paid
7875,36,6.89,242.77,A,A3,7 years,MORTGAGE,80000.0,credit_card,Fully Paid
6000,36,16.91,213.65,C,C5,9 years,RENT,150000.0,debt_consolidation,Current
13825,36,14.99,479.19,C,C5,7 years,RENT,110000.0,debt_consolidation,Charged Off
3000,36,9.44,96.02,B,B1,2 years,RENT,52000.0,other,Current
8400,36,12.29,280.17,C,C1,10+ years,RENT,45000.0,debt_consolidation,Fully Paid
20000,36,11.44,658.95,B,B4,2 years,MORTGAGE,85000.0,debt_consolidation,Fully Paid
12300,60,19.97,325.67,D,D5,< 1 year,RENT,40000.0,credit_card,Fully Paid
6000,36,10.91,196.18,B,B4,2 years,RENT,60000.0,debt_consolidation,Current
10000,36,5.32,301.15,A,A1,2 years,RENT,53000.0,small_business,Current
18600,36,11.99,617.7,B,B5,3 years,MORTGAGE,90000.0,medical,Current
9000,36,8.9,285.78,A,A5,10+ years,MORTGAGE,65090.0,credit_card,Fully Paid
16000,36,11.44,527.16,B,B4,10+ years,RENT,145000.0,debt_consolidation,Current
12000,60,12.69,271.14,C,C2,< 1 year,MORTGAGE,63000.0,credit_card,Fully Paid
6000,36,8.08,188.24,A,A5,4 years,MORTGAGE,42000.0,debt_consolidation,Current
10000,36,7.97,313.23,A,A5,3 years,RENT,28000.0,home_improvement,Current
10000,36,22.74,385.75,E,E1,6 years,OWN,30000.0,credit_card,Fully Paid
24500,60,19.92,648.02,D,D3,< 1 year,RENT,50000.0,debt_consolidation,Current
6500,36,20.99,244.86,E,E4,5 years,MORTGAGE,45000.0,home_improvement,Fully Paid
14000,60,18.25,357.42,D,D3,10+ years,MORTGAGE,73000.0,debt_consolidation,Fully Paid
8000,36,11.67,264.46,B,B4,8 years,MORTGAGE,63000.0,credit_card,Fully Paid
10000,36,10.99,327.34,B,B4,,OWN,148000.0,home_improvement,Fully Paid
16400,36,16.55,581.04,D,D2,10+ years,RENT,70000.0,debt_consolidation,Charged Off
15000,36,16.91,534.12,C,C5,< 1 year,RENT,80000.0,debt_consolidation,Current
21075,60,19.52,552.75,E,E3,10+ years,MORTGAGE,60000.0,debt_consolidation,Charged Off
35000,36,7.96,1096.13,A,A5,4 years,OWN,130000.0,credit_card,Current
19350,36,11.53,638.37,B,B5,10+ years,OWN,55000.0,debt_consolidation,Fully Paid
8650,36,11.39,284.8,B,B3,2 years,MORTGAGE,51000.0,major_purchase,Fully Paid
10000,36,9.67,321.13,B,B1,2 years,RENT,45000.0,debt_consolidation,Fully Paid
16000,36,7.84,500.21,A,A4,10+ years,RENT,120000.0,debt_consolidation,Current
6400,36,7.89,200.23,A,A5,1 year,RENT,31200.0,debt_consolidation,Fully Paid
16000,36,7.39,496.9,A,A4,,MORTGAGE,65000.0,debt_consolidation,Current
