housing_median_age,total_rooms,population,median_income,median_house_value
41,880,322,8.3252,452600
21,7099,2401,8.3014,358500
52,1467,496,7.2574,352100
52,1274,558,5.6431,341300
52,1627,565,3.8462,342200
52,919,413,4.0368,269700
52,2535,1094,3.6591,299200
52,3104,1157,3.12,241400
42,2555,1206,2.0804,226700
52,3549,1551,3.6912,261100
52,2202,910,3.2031,281500
52,3503,1504,3.2705,241800
52,2491,1098,3.075,213500
52,696,345,2.6736,191300
52,2643,1212,1.9167,159200
50,1120,697,2.125,140000
52,1966,793,2.775,152500
52,1228,648,2.1202,155500
50,2239,990,1.9911,158700
52,1503,690,2.6033,162900
40,751,409,1.3578,147500
42,1639,929,1.7135,159800
52,2436,1015,1.725,113900
52,1688,853,2.1806,99700
52,2224,1006,2.6,132600
41,535,317,2.4038,107500
49,1130,607,2.4597,93800
52,1898,1102,1.808,105500
50,2082,1131,1.6424,108900
52,729,395,1.6875,132000
49,1916,863,1.9274,122300
52,2153,1168,1.9615,115200
48,1922,1026,1.7969,110400
49,1655,754,1.375,104900
51,2665,1258,2.7303,109700
49,1215,570,1.4861,97200
48,1798,987,1.0972,104500
52,1511,901,1.4103,103900
52,1470,689,3.48,191400
52,2432,1377,2.5898,176000
52,1665,946,2.0978,155400
51,936,517,1.2852,150000
49,713,462,1.025,118800
52,950,467,3.9643,188800
52,1443,660,3.0125,184400
52,1656,718,2.6768,182300
50,1125,616,2.026,142500
43,1007,558,1.7348,137500
40,624,423,0.9506,187500
40,946,700,1.775,112500
21,896,735,0.9218,171900
43,1868,1061,1.5045,93800
41,3221,1959,1.1108,97500
52,1630,1162,1.2475,104200
52,1170,701,1.6098,87500
52,945,576,1.4113,83100
52,1238,622,1.5057,87500
52,1489,728,0.8172,85300
52,1387,1074,1.2171,80300
2,158,94,2.5625,60000
52,1121,554,3.3929,75700
49,135,86,6.1183,75000
50,760,377,0.9011,86100
52,1224,521,1.191,76100
48,828,392,2.5938,73500
52,1010,604,1.1667,78400
48,1455,788,0.8056,84400
52,1027,492,2.6094,81300
52,572,274,1.8516,85000
46,2801,1823,0.9802,129200
26,768,392,1.7719,82500
46,935,582,0.7286,95200
49,844,560,1.75,75000
46,12,18,0.4999,67500
20,835,290,2.483,137500
17,1237,762,0.9241,177500
36,2914,1236,2.4464,102100
19,1207,721,1.1111,108300
23,1745,1054,0.8026,112500
38,684,344,2.0114,131300
17,924,609,1.5,162500
52,210,183,1.1667,112500
52,340,200,1.5208,112500
52,386,346,0.8075,137500
35,948,467,1.8088,118800
52,773,377,2.4083,98200
40,880,582,0.977,118800
10,875,546,0.76,162500
10,105,125,0.9722,137500
52,249,396,1.2434,500001
16,994,800,2.0938,162500
52,215,904,0.8668,137500
52,96,191,0.75,162500
27,1055,718,2.6354,187500
39,1715,1327,1.8477,179200
36,5329,3469,2.0096,130000
31,4596,2048,2.8345,183800
29,335,202,2.0062,125000
22,3682,2024,1.2185,170000
